Timestamp,started,vfs_path,expected_size
1573086021,2019-11-07 00:20:21.796282815 +0000 UTC,/clients/C.abad2ac29511a9ac/collections/F.BMP95F2DRMK5O/uploads/lazy_ntfs/C:/Users/Public/Desktop/Image Transfer Utility.lnk,1259
1573086021,2019-11-07 00:20:21.796319585 +0000 UTC,/clients/C.abad2ac29511a9ac/collections/F.BMP95F2DRMK5O/uploads/lazy_ntfs/C:/Users/mic/AppData/Roaming/Microsoft/Windows/Recent/Foobar.lnk,337
