_ts,Timestamp,CPU,RSS
1571987636,1571987533.805108,0.375,29437952
1571987636,1571987543.8064759,0.390625,29630464
1571987636,1571987553.8077283,0.390625,29626368
1571987636,1571987563.8079457,0.40625,29650944
1571987636,1571987573.8085604,0.421875,29679616
1571987636,1571987583.809682,0.4375,29675520
1571987636,1571987593.8098056,0.4375,29687808
1571987636,1571987603.8113976,0.453125,29704192
1571987636,1571987613.811716,0.46875,29683712
1571988000,1571987909.7926373,0.359375,29970432
1571988000,1571987919.7927475,0.359375,30031872
1571988000,1571987929.793042,0.40625,30035968
1571988000,1571987939.7935321,0.4375,30076928
1571988000,1571987949.7938638,0.453125,30220288
1571988000,1571987959.7949166,0.46875,30195712
1571988000,1571987969.795352,0.484375,30183424
1571988000,1571987979.7956405,0.484375,30208000
1571988000,1571987989.7962909,0.484375,30212096
1571988100,1571987999.800347,0.53125,29515776
1571988100,1571988009.8018508,0.65625,29429760
1571988100,1571988019.801976,0.65625,29507584
1571988100,1571988029.8031385,0.671875,29511680
1571988100,1571988039.8039715,1.546875,31641600
1571988100,1571988049.8040266,1.5625,31698944
1571988100,1571988059.8047504,1.5625,31690752
1571988100,1571988069.8047538,1.5625,31748096
1571988100,1571988079.8048325,1.59375,31768576
1571988100,1571988089.805052,1.59375,31813632
